event_name,description,link,when,where,deadline,page_title,meta_description,detailed_deadline,review_time,conference_rank,is_workshop,minimum_pages,website_link,categories
AIFU 2025,11th International Conference on Artificial Intelligence and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182607&copyownerid=170233,"May 24, 2025 - May 25, 2025","Vancouver, Canada",22/02/25,AIFU 2025 : 11th International Conference on Artificial Intelligence and Applications,AIFU 2025 : 11th International Conference on Artificial Intelligence and Applications,N/A,N/A,N/A,False,N/A,https://ccsea2025.org/aifu/index,"['fuzzy logic systems', 'data mining', 'artificial intelligence', 'robotics']"
IJCSIT 2025,International Journal of Computer Science and Information Technology - H-index 59,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185229&copyownerid=33993,N/A,N/A,22/02/25,IJCSIT 2025 : International Journal of Computer Science and Information Technology - H-index 59,IJCSIT 2025 : International Journal of Computer Science and Information Technology - H-index 59,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijcsit.html,"['artificial intelligence', 'computer science', 'machine learning', 'engineering']"
ICAITA 2025,14th International Conference on Advanced Information Technologies and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180426&copyownerid=171656,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,ICAITA  2025 : 14th International Conference on Advanced Information Technologies and Applications,ICAITA  2025 : 14th International Conference on Advanced Information Technologies and Applications,N/A,N/A,N/A,False,N/A,https://icaita2025.org/,"['electrical engineering', 'embedded systems', 'communications', 'bioinformatics']"
CRIS 2025,11th International Conference on Cryptography and Information Security,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181429&copyownerid=33993,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,CRIS 2025 : 11th International Conference on Cryptography and Information Security,CRIS 2025 : 11th International Conference on Cryptography and Information Security,N/A,N/A,N/A,False,N/A,https://cosit2025.org/cris/index,"['cryptography', 'security', 'blockchain', 'privacy']"
AIFU 2025,11th International Conference on Artificial Intelligence and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182607&copyownerid=170233,"May 24, 2025 - May 25, 2025","Vancouver, Canada",22/02/25,AIFU 2025 : 11th International Conference on Artificial Intelligence and Applications,AIFU 2025 : 11th International Conference on Artificial Intelligence and Applications,N/A,N/A,N/A,False,N/A,https://ccsea2025.org/aifu/index,"['fuzzy logic systems', 'data mining', 'artificial intelligence', 'robotics']"
IJCSIT 2025,International Journal of Computer Science and Information Technology - H-index 59,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185229&copyownerid=33993,N/A,N/A,22/02/25,IJCSIT 2025 : International Journal of Computer Science and Information Technology - H-index 59,IJCSIT 2025 : International Journal of Computer Science and Information Technology - H-index 59,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijcsit.html,"['artificial intelligence', 'computer science', 'machine learning', 'engineering']"
ICAITA 2025,14th International Conference on Advanced Information Technologies and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180426&copyownerid=171656,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,ICAITA  2025 : 14th International Conference on Advanced Information Technologies and Applications,ICAITA  2025 : 14th International Conference on Advanced Information Technologies and Applications,N/A,N/A,N/A,False,N/A,https://icaita2025.org/,"['electrical engineering', 'embedded systems', 'communications', 'bioinformatics']"
CRIS 2025,11th International Conference on Cryptography and Information Security,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181429&copyownerid=33993,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,CRIS 2025 : 11th International Conference on Cryptography and Information Security,CRIS 2025 : 11th International Conference on Cryptography and Information Security,N/A,N/A,N/A,False,N/A,https://cosit2025.org/cris/index,"['cryptography', 'security', 'blockchain', 'privacy']"
IJASSN 2025,International Journal of Advanced Smart Sensor Network Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182212&copyownerid=33993,N/A,N/A,22/02/25,IJASSN 2025 : International Journal of Advanced Smart Sensor Network Systems,IJASSN 2025 : International Journal of Advanced Smart Sensor Network Systems,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijassn/ijassn.html,"['sensor network', 'security', 'architecture', 'wireless']"
IJDMS 2025,International Journal of Database Management Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179336&copyownerid=46167,N/A,N/A,22/02/25,IJDMS 2025 : International Journal of Database Management Systems,IJDMS 2025 : International Journal of Database Management Systems,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijdms/index.html,"['data mining', 'databases', 'big data', 'semantic web']"
NMCO 2025,"11th International Conference on Networks, Mobile Communication",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180649&copyownerid=171656,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,"NMCO 2025 : 11th International Conference on Networks, Mobile Communication","NMCO 2025 : 11th International Conference on Networks, Mobile Communication",N/A,N/A,N/A,True,N/A,https://csita2025.org/nmco/index,"['networks', 'mobile communication', 'internet of things', 'sensor networks']"
EEIJ 2025,Electrical Engineering: An International Journal,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183077&copyownerid=170233,N/A,N/A,22/02/25,EEIJ 2025 : Electrical Engineering: An International Journal,EEIJ 2025 : Electrical Engineering: An International Journal,N/A,N/A,N/A,False,N/A,https://airccse.com/eeij/index.html,"['electrical engineering', 'embedded systems', 'communications', 'bioinformatics']"
CMC 2025,"11th International Conference on Control, Modeling and Computing",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179864&copyownerid=46167,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,"CMC 2025 : 11th International Conference on Control, Modeling and Computing","CMC 2025 : 11th International Conference on Control, Modeling and Computing",N/A,N/A,N/A,False,N/A,https://icaita2025.org/cmc/index,"['control', 'modeling', 'computing', 'adaptive control']"
CLOUD 2025,14th International Conference on Cloud Computing: Services and Architecture,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182639&copyownerid=170233,"May 24, 2025 - May 25, 2025","Vancouver, Canada",22/02/25,CLOUD  2025 : 14th International Conference on Cloud Computing: Services and Architecture,CLOUD  2025 : 14th International Conference on Cloud Computing: Services and Architecture,N/A,N/A,N/A,True,N/A,https://ccsea2025.org/cloud/index,"['cloud computing', 'parallel processing', 'machine learning', 'big data']"
NLPA 2025,6th International Conference on Natural Language Processing and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180434&copyownerid=171656,"Jul 26, 2025 - Jul 27, 2025","London, United Kingdom",22/02/25,NLPA  2025 : 6th International Conference on Natural Language Processing and Applications,NLPA  2025 : 6th International Conference on Natural Language Processing and Applications,N/A,N/A,N/A,False,N/A,https://csit2025.org/nlpa/index,"['natural language processing', 'ontology', 'information retrieval', 'text mining']"
CCSEA 2025,"15th International Conference on Computer Science, Engineering and Applications",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181430&copyownerid=33993,"May 24, 2025 - May 25, 2025","Vancouver, Canada",22/02/25,"CCSEA  2025 : 15th International Conference on Computer Science, Engineering and Applications","CCSEA  2025 : 15th International Conference on Computer Science, Engineering and Applications",N/A,N/A,N/A,False,N/A,https://ccsea2025.org/,"['data mining', 'embedded system', 'soft computing', 'computer science']"
SOFTPA 2025,4th International Conference on Emerging Practices in Software Process & Architecture,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182918&copyownerid=170233,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,SOFTPA 2025 : 4th International Conference on Emerging Practices in Software Process & Architecture,SOFTPA 2025 : 4th International Conference on Emerging Practices in Software Process & Architecture,N/A,N/A,N/A,False,N/A,https://csita2025.org/softpa/index,"['ai for supporting software and', 'software automation', 'software engineering challenge', 'wireless multimedia systems']"
IJSPTM 2025,"International Journal of Security, Privacy and Trust Management",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=184785&copyownerid=33993,N/A,N/A,22/02/25,"IJSPTM 2025 : International Journal of Security, Privacy and Trust Management","IJSPTM 2025 : International Journal of Security, Privacy and Trust Management",N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijsptm/index.html,"['grid computing', 'information security', 'software architecture', 'software engineering']"
IOTBC 2025,"3rd International Conference IOT, Blockchain and Cryptography",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185642&copyownerid=46167,"Mar 28, 2025 - Mar 29, 2025",Virtual Conference,22/02/25,"IOTBC 2025 : 3rd International Conference IOT, Blockchain and Cryptography","IOTBC 2025 : 3rd International Conference IOT, Blockchain and Cryptography",N/A,N/A,N/A,True,N/A,https://iotbc2025.org/,"['internet of things', 'blockchain', 'computer science', 'security']"
WiMoNe 2025,17th International Conference on Wireless & Mobile Networks,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180650&copyownerid=171656,"Jul 19, 2025 - Jul 20, 2025","Toronto, Canada",22/02/25,WiMoNe 2025 : 17th International Conference on Wireless & Mobile Networks,WiMoNe 2025 : 17th International Conference on Wireless & Mobile Networks,N/A,N/A,N/A,False,N/A,https://cseit2025.org/wimone/index,"['networking', 'wireless networks', 'wireless', 'wireless communication']"
IJSEA 2025,"International Journal of Software Engineering & Applications - ERA Indexed, H Index 34",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181669&copyownerid=33993,N/A,N/A,22/02/25,"IJSEA 2025 : International Journal of Software Engineering & Applications - ERA  Indexed, H Index 34","IJSEA 2025 : International Journal of Software Engineering & Applications - ERA  Indexed, H Index 34",N/A,N/A,N/A,False,N/A,https://www.airccse.org/journal/ijsea/ijsea.html,"['computer science', 'information technology', 'software engineering', 'software testing']"
IJITCS 2025,International Journal of Information Technology Convergence and services,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180003&copyownerid=33993,N/A,N/A,22/02/25,IJITCS 2025 : International Journal of Information Technology Convergence and services,IJITCS 2025 : International Journal of Information Technology Convergence and services,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijitcs/index.html,"['information technology', 'management', 'electronics', 'technology']"
BMLI 2025,"6th International Conference on Big Data, Machine Learning and IoT",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182681&copyownerid=170233,"Jun 21, 2025 - Jun 22, 2025","Sydney, Australia",22/02/25,"BMLI  2025 : 6th International Conference on Big Data, Machine Learning and IoT","BMLI  2025 : 6th International Conference on Big Data, Machine Learning and IoT",N/A,N/A,N/A,False,N/A,https://inwes2025.org/bmli/index,"['big data', 'machine learning', 'internet of things', 'computer vision']"
IJCCSA 2025,International Journal on Cloud Computing: Services and Architecture,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183461&copyownerid=33993,N/A,N/A,22/02/25,IJCCSA 2025 : International Journal on Cloud Computing: Services and Architecture,IJCCSA 2025 : International Journal on Cloud Computing: Services and Architecture,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijccsa/index.html,"['cloud computing', 'security', 'computer science', 'engineering']"
CSITA 2025,"11th International Conference on Computer Science, Information Technology and Applications",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185795&copyownerid=46167,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,"CSITA 2025 : 11th International Conference on Computer Science, Information Technology and Applications","CSITA 2025 : 11th International Conference on Computer Science, Information Technology and Applications",N/A,N/A,N/A,False,N/A,https://csita2025.org/,"['computer science', 'information technology', 'artificial intelligence', 'engineering']"
CAIJ 2025,Computer Applications: An International Journal,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181076&copyownerid=33993,N/A,N/A,22/02/25,CAIJ 2025 : Computer Applications: An International Journal,CAIJ 2025 : Computer Applications: An International Journal,N/A,N/A,N/A,False,N/A,http://airccse.com/caij/index.html,"['computer science', 'software engineering', 'cryptography', 'programming languages']"
CoSIT 2025,12th International Conference on Computer Science and Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182682&copyownerid=170233,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,CoSIT  2025 : 12th International Conference on Computer Science and Information Technology,CoSIT  2025 : 12th International Conference on Computer Science and Information Technology,N/A,N/A,N/A,False,N/A,https://cosit2025.org/index,"['computer science', 'information technology', 'artificial intelligence', 'engineering']"
IJAC 2025,International Journal of Advances in Chemistry,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181473&copyownerid=33993,N/A,N/A,22/02/25,IJAC 2025 : International Journal of Advances in Chemistry,IJAC 2025 : International Journal of Advances in Chemistry,N/A,N/A,N/A,False,N/A,https://airccse.com/ijac/index.html,"['chemistry', 'environmental', 'theoretical', 'biological sciences']"
CSITEC 2025,"11th International Conference on Computer Science, Information Technology",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185450&copyownerid=46167,"Mar 15, 2025 - Mar 16, 2025","Vienna, Austria",22/02/25,"CSITEC 2025 : 11th International Conference on Computer Science, Information Technology","CSITEC 2025 : 11th International Conference on Computer Science, Information Technology",N/A,N/A,N/A,False,N/A,https://necom2025.org/csitec/index,"['computer science', 'information technology', 'engineering', 'artificial intelligence']"
NLPML 2025,6th International Conference on Natural Language Processing and Machine Learning,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185674&copyownerid=46167,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,NLPML 2025 : 6th International Conference on Natural Language Processing and Machine Learning,NLPML 2025 : 6th International Conference on Natural Language Processing and Machine Learning,N/A,N/A,N/A,False,N/A,https://cosit2025.org/nlpml/index,"['NLP', 'machine learning', 'artificial intelligence', 'computer science']"
CoNeCo 2025,17th International Conference on Computer Networks & Communications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179475&copyownerid=46167,"Apr 19, 2025 - Apr 20, 2025","Melbourne, Australia",22/02/25,CoNeCo 2025 : 17th International Conference on Computer Networks & Communications,CoNeCo 2025 : 17th International Conference on Computer Networks & Communications,N/A,N/A,N/A,False,N/A,https://acsit2025.org/coneco/index,"['networks', 'communication', 'wireless communications', 'network security']"
CMIT 2025,13th International Conference of Managing Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180763&copyownerid=171656,"Apr 19, 2025 - Apr 20, 2025","Melbourne, Australia",22/02/25,CMIT 2025 : 13th International Conference of Managing Information Technology,CMIT 2025 : 13th International Conference of Managing Information Technology,N/A,N/A,N/A,False,N/A,https://acsit2025.org/cmit/index,"['algorithms and bioinformatics', 'electronic billing systems', 'green technologies', 'high-definition tv systems & s']"
NeTCoM 2025,17th International Conference on Network and Communications Security,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182520&copyownerid=170233,"Jul 19, 2025 - Jul 20, 2025","Toronto, Canada",22/02/25,NeTCoM  2025 : 17th International Conference on Network and Communications Security,NeTCoM  2025 : 17th International Conference on Network and Communications Security,N/A,N/A,N/A,False,N/A,https://cseit2025.org/netcom/index,"['networking', 'network security', 'cyber security', 'engineering']"
CSIT 2025,12th International Conference on Computer Science and Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185075&copyownerid=46167,"Jul 26, 2025 - Jul 27, 2025","London, United Kingdom",22/02/25,CSIT 2025 : 12th International Conference on Computer Science and Information Technology,CSIT 2025 : 12th International Conference on Computer Science and Information Technology,N/A,N/A,N/A,False,N/A,https://csit2025.org/index,"['computer science', 'information technology', 'engineering', 'artificial intelligence']"
CoSIT 2025,12th International Conference on Computer Science and Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185808&copyownerid=46167,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,CoSIT  2025 : 12th International Conference on Computer Science and Information Technology,CoSIT  2025 : 12th International Conference on Computer Science and Information Technology,N/A,N/A,N/A,False,N/A,https://cosit2025.org/index,"['computer science', 'information technology', 'engineering', 'artificial intelligence']"
IJSCMC 2025,"International Journal of Soft Computing, Mathematics and Control",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181175&copyownerid=33993,N/A,N/A,22/02/25,"IJSCMC 2025 : International Journal of Soft Computing, Mathematics and Control","IJSCMC 2025 : International Journal of Soft Computing, Mathematics and Control",N/A,N/A,N/A,False,N/A,http://wireilla.com/ns/maths/ijscmc.html,"['mathematics', 'soft computing', 'control', 'embedded systems']"
IJWMN 2025,"International Journal of Wireless & Mobile Networks -- ERA, WJCI Indexed, H index 38",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182010&copyownerid=33993,N/A,N/A,22/02/25,"IJWMN 2025 : International Journal of Wireless & Mobile Networks -- ERA, WJCI Indexed, H index 38","IJWMN 2025 : International Journal of Wireless & Mobile Networks -- ERA, WJCI Indexed, H index 38",N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijwmn.html,"['wireless', 'sensor networks', 'mobile', 'computer science']"
SEAS 2025,14th International Conference on Software Engineering and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185549&copyownerid=46167,"Mar 15, 2025 - Mar 16, 2025","Vienna, Austria",22/02/25,SEAS 2025 : 14th International Conference on Software Engineering and Applications,SEAS 2025 : 14th International Conference on Software Engineering and Applications,N/A,N/A,N/A,False,N/A,https://necom2025.org/seas/index,"['software engineering', 'software testing', 'computer science', 'engineering']"
CACIT 2025,5th International Conference on Advances in Computing & Information Technologies,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180508&copyownerid=171656,"Jun 21, 2025 - Jun 22, 2025","Sydney, Australia",22/02/25,CACIT  2025 : 5th International Conference on Advances in Computing & Information Technologies,CACIT  2025 : 5th International Conference on Advances in Computing & Information Technologies,N/A,N/A,N/A,False,N/A,https://inwes2025.org/cacit/index,"['artificial intelligence', 'big data', 'blockchain', 'deep learning']"
IJCIS 2025,International Journal on Cryptography and Information Security,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181474&copyownerid=33993,N/A,N/A,22/02/25,IJCIS 2025 : International Journal on Cryptography and Information Security,IJCIS 2025 : International Journal on Cryptography and Information Security,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijcis/index.html,"['information security', 'cryptography', 'computer science', 'engineering']"
ELELIJ 2025,Electrical and Electronics Engineering: An International Journal,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=184838&copyownerid=33993,N/A,N/A,22/02/25,ELELIJ 2025 : Electrical and Electronics Engineering:  An International Journal,ELELIJ 2025 : Electrical and Electronics Engineering:  An International Journal,N/A,N/A,N/A,False,N/A,http://wireilla.com/engg/eeeij/index.html,"['power electronics', 'visualization', 'embedded systems', 'image processing']"
MLCL 2025,6th International Conference on Machine learning and Cloud Computing,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185451&copyownerid=46167,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,MLCL  2025 : 6th International Conference on Machine learning and Cloud Computing,MLCL  2025 : 6th International Conference on Machine learning and Cloud Computing,N/A,N/A,N/A,False,N/A,https://csita2025.org/mlcl/index,"['artificial intelligence', 'machine learning', 'cloud computing', 'computer science']"
IJP2P 2025,International Journal of Peer-to-Peer networks,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179478&copyownerid=46167,N/A,N/A,22/02/25,IJP2P 2025 : International Journal of Peer-to-Peer networks,IJP2P 2025 : International Journal of Peer-to-Peer networks,N/A,N/A,N/A,False,N/A,https://airccse.org/ijp2p/index.html,"['networking', 'distributed systems', 'communications', 'technology']"
EDUIT 2025,3rd International Conference on Education & Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180765&copyownerid=171656,"Jun 21, 2025 - Jun 22, 2025","Sydney, Australia",22/02/25,EDUIT 2025 : 3rd International Conference on Education & Information Technology,EDUIT 2025 : 3rd International Conference on Education & Information Technology,N/A,N/A,N/A,False,N/A,https://inwes2025.org/eduit/index,"['education', 'information technology', 'learning', 'web']"
DMA 2025,1thInternational Conference on Data Mining and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181808&copyownerid=33993,"Apr 26, 2025 - Apr 27, 2025","Copenhagen, Denmark",22/02/25,DMA 2025 : 1thInternational Conference on Data Mining and Applications,DMA 2025 : 1thInternational Conference on Data Mining and Applications,N/A,N/A,N/A,False,N/A,https://cosit2025.org/dma/index,"['data mining', 'knowledge processing', 'multimedia', 'data mining in modeling']"
NLCAI 2025,6th International Conference on Natural Language Computing and AI,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185809&copyownerid=46167,"May 24, 2025 - May 25, 2025","Vancouver, Canada",22/02/25,NLCAI  2025 : 6th International Conference on Natural Language Computing and AI,NLCAI  2025 : 6th International Conference on Natural Language Computing and AI,N/A,N/A,N/A,False,N/A,https://ccsea2025.org/nlcai/index,"['NLP', 'artificial intelligence', 'computer science', 'machine learning']"
CSEIJ 2025,Computer Science & Engineering: An International Journal,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180144&copyownerid=33993,N/A,N/A,22/02/25,CSEIJ 2025 : Computer Science & Engineering: An International Journal,CSEIJ 2025 : Computer Science & Engineering: An International Journal,N/A,N/A,N/A,False,N/A,https://www.cseij.org/,"['computer science', 'information technology', 'soft computing', 'cryptography']"
IJDPS 2025,International Journal of Distributed and Parallel systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181176&copyownerid=33993,N/A,N/A,22/02/25,IJDPS 2025 : International Journal of Distributed and Parallel systems,IJDPS 2025 : International Journal of Distributed and Parallel systems,N/A,N/A,N/A,True,N/A,https://airccse.org/journal/ijdps/ijdps.html,"['data mining', 'wireless networks', 'security', 'image processing']"
SOFT 2025,11th International Conference on Software Engineering,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182731&copyownerid=170233,"May 17, 2025 - May 18, 2025","Zurich, Switzerland",22/02/25,SOFT 2025 : 11th International Conference on Software Engineering,SOFT 2025 : 11th International Conference on Software Engineering,N/A,N/A,N/A,False,N/A,https://icaita2025.org/soft/index,"['software engineering', 'knowledge-based systems', 'formal methods', 'quality management']"
IJCI 2025,International Journal on Cybernetics & Informatics,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183590&copyownerid=33993,N/A,N/A,22/02/25,IJCI 2025 : International Journal on Cybernetics & Informatics,IJCI 2025 : International Journal on Cybernetics & Informatics,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijci/index.html,"['cybernetics', 'informatics', 'robotics', 'artificial intelligence']"
NeCoM 2025,17th International Conference on Networks & Communications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185300&copyownerid=46167,"Mar 15, 2025 - Mar 16, 2025","Vienna, Austria",22/02/25,NeCoM 2025 : 17th International Conference on Networks & Communications,NeCoM 2025 : 17th International Conference on Networks & Communications,N/A,N/A,N/A,False,N/A,https://necom2025.org/,"['computer science', 'engineering', 'communications', 'security']"
IJCCMS 2025,"International Journal of Chaos, Control, Modelling and Simulation",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179169&copyownerid=46167,N/A,N/A,22/02/25,"IJCCMS 2025 : International Journal of Chaos, Control, Modelling and Simulation","IJCCMS 2025 : International Journal of Chaos, Control, Modelling and Simulation",N/A,N/A,N/A,True,N/A,https://airccse.org/journal/ijccms/index.html,"['control', 'simulation', 'modelling', 'control theory']"
VLSIA 2025,11th International Conference on VLSI and Applications,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180509&copyownerid=171656,"Jun 21, 2025 - Jun 22, 2025","Sydney, Australia",22/02/25,VLSIA 2025 : 11th International Conference on VLSI and Applications,VLSIA 2025 : 11th International Conference on VLSI and Applications,N/A,N/A,N/A,False,N/A,https://inwes2025.org/vlsia/index,"['VLSI', 'circuits', 'image processing', 'signal processing']"
IJWSC 2025,International Journal on Web Service Computing,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181530&copyownerid=33993,N/A,N/A,22/02/25,IJWSC 2025 : International Journal on Web Service Computing,IJWSC 2025 : International Journal on Web Service Computing,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/jwsc/ijwsc.html,"['cloud computing', 'web services', 'big data', 'data mining']"
SIPRO 2025,11th International Conference on Signal and Image Processing,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182960&copyownerid=170233,"May 24, 2025 - May 25, 2025","Vancouver, Canada",22/02/25,SIPRO 2025 : 11th International Conference on Signal and Image Processing,SIPRO 2025 : 11th International Conference on Signal and Image Processing,N/A,N/A,N/A,False,N/A,https://ccsea2025.org/sipro/index,"['signal processing', 'image processing', 'visualization', 'pattern recognition']"
IJMNCT 2025,International Journal of Mobile Network Communications & Telematics,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=179568&copyownerid=46167,N/A,N/A,22/02/25,IJMNCT 2025 : International Journal of  Mobile Network Communications & Telematics,IJMNCT 2025 : International Journal of  Mobile Network Communications & Telematics,N/A,N/A,N/A,False,N/A,https://airccse.org/journal/ijmnct/ijmnct.html,"['computer science', 'security', 'communications', 'networking']"
ITCA 2025,"13th International Conference of Information Technology, Control and Automation",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180821&copyownerid=171656,"Apr 19, 2025 - Apr 20, 2025","Melbourne, Australia",22/02/25,"ITCA  2025 : 13th International Conference of Information Technology, Control and Automation","ITCA  2025 : 13th International Conference of Information Technology, Control and Automation",N/A,N/A,N/A,False,N/A,https://acsit2025.org/itca/index,"['adaptive control', 'computer controlled systems', 'computational biology', 'data mining']"
IJFCST 2025,International Journal on Foundations of Computer Science & Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181809&copyownerid=33993,N/A,N/A,22/02/25,IJFCST 2025 : International Journal on Foundations of Computer Science & Technology,IJFCST 2025 : International Journal on Foundations of Computer Science & Technology,N/A,N/A,N/A,False,N/A,https://wireilla.com/ijfcst/index.html,"['artificial intelligence', 'software engineering', 'cryptography', 'data mining']"
SPM 2025,"12th International Conference on Signal, Image Processing and Multimedia",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182567&copyownerid=170233,"Jul 19, 2025 - Jul 20, 2025","Toronto, Canada",22/02/25,"SPM 2025 : 12th International Conference on Signal, Image Processing and Multimedia","SPM 2025 : 12th International Conference on Signal, Image Processing and Multimedia",N/A,N/A,N/A,False,N/A,https://cseit2025.org/spm/index,"['signal processing', 'image processing', 'computer vision', 'multimedia']"
NATAP 2025,8th International Conference on Natural Language Processing and Trends,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185136&copyownerid=46167,"Mar 22, 2025 - Mar 23, 2025","Sydney, Australia",22/02/25,NATAP 2025 : 8th International Conference on Natural Language Processing and Trends,NATAP 2025 : 8th International Conference on Natural Language Processing and Trends,N/A,N/A,N/A,False,N/A,https://csita2025.org/natap/index,"['NLP', 'artificial intelligence', 'computer science', 'natural language processing']"
VLSICS 2025,International journal of VLSI design & Communication Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180218&copyownerid=33993,N/A,N/A,22/02/25,VLSICS 2025 : International journal of VLSI design & Communication Systems,VLSICS 2025 : International journal of VLSI design & Communication Systems,N/A,N/A,N/A,True,N/A,http://airccse.org/journal/vlsi/vlsics.html,"['signal processing', 'image processing', 'VLSI', 'engineering']"
MECH 2025,7th International Conference on Mechanical Engineering,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181177&copyownerid=171656,"Mar 28, 2025 - Mar 29, 2025",Virtual conference,22/02/25,MECH  2025 : 7th International Conference on Mechanical Engineering,MECH  2025 : 7th International Conference on Mechanical Engineering,N/A,N/A,N/A,False,N/A,https://mech2025.org/,"['mechanical engineering', 'automation', 'robotics', 'composite materials']"
